driver_id,total_fare,avg_distance
85,148.23,13.37
34,19.1,11.69
81,102.3,2.45
26,74.28,7.93
12,80.38,37.46
91,51.73,4.92
22,182.49,23.93
16,39.4,19.86
20,76.9,24.99
94,134.91,28.185000000000002
19,129.43,22.42
92,5.13,47.29
64,53.35,8.78
41,138.63,39.94
15,55.96,47.23
43,60.03,3.26
61,56.75,43.85
55,147.93,41.17
8,128.48,3.35
97,82.58,23.59
10,195.95999999999998,20.595
77,131.32,17.605
45,43.96,39.24
38,47.72,3.19
82,122.59,39.28
80,20.79,46.73
29,78.84,25.75
21,6.73,28.99
90,75.23,10.2
75,141.84,44.71
56,139.19,19.2
58,130.31,7.76
33,161.44,8.69
83,138.6,31.41
68,149.08,49.38
14,114.19,32.78
42,71.64,32.18
30,95.21,9.82
18,129.47,2.18
74,78.2,47.56
